调整日期,上次调整日期,周期天数,汽油,汽油涨跌,国内调价幅度_CNY_per_ton,推断调价窗口数,标准窗口天数,推断等效天数,相对标准窗口偏差天数,推断类型
2019-06-26,2019-06-12,14,7525,↓120,-120.0,1,14,14,0,标准单窗口
2019-06-12,2019-05-28,15,7645,↓465,-465.0,1,14,14,1,标准单窗口
2019-05-28,2019-05-14,14,8110,↑50,50.0,1,14,14,0,标准单窗口
2019-05-14,2019-04-27,17,8060,↓75,-75.0,1,14,14,3,标准单窗口
2019-04-27,2019-04-13,14,8135,↑195,195.0,1,14,14,0,标准单窗口
2019-04-13,2019-03-29,15,7940,↓50,-50.0,1,14,14,1,标准单窗口
2019-03-29,2019-03-01,28,7990,↑80,80.0,2,14,28,0,疑似跨多窗口
2019-03-01,2019-02-15,14,7910,↑270,270.0,1,14,14,0,标准单窗口
2019-02-15,2019-01-29,17,7640,↑50,50.0,1,14,14,3,标准单窗口
2019-01-29,2019-01-15,14,7590,↑245,245.0,1,14,14,0,标准单窗口
2019-01-15,2018-12-29,17,7345,↑105,105.0,1,14,14,3,标准单窗口
2018-12-29,2018-12-15,14,7240,↓370,-370.0,1,14,14,0,标准单窗口
2018-12-15,2018-12-01,14,7610,↓125,-125.0,1,14,14,0,标准单窗口
2018-12-01,2018-11-17,14,7735,↓540,-540.0,1,14,14,0,标准单窗口
2018-11-17,2018-11-03,14,8275,↓510,-510.0,1,14,14,0,标准单窗口
2018-11-03,2018-10-20,14,8785,↓375,-375.0,1,14,14,0,标准单窗口
2018-10-20,2018-10-01,19,9160,↑165,165.0,1,14,14,5,单窗口但偏离较大
2018-10-01,2018-09-18,13,8995,↑240,240.0,1,14,14,-1,标准单窗口
2018-09-18,2018-09-04,14,8755,↑145,145.0,1,14,14,0,标准单窗口
2018-09-04,2018-08-21,14,8610,↑180,180.0,1,14,14,0,标准单窗口
2018-08-21,2018-08-07,14,8430,↓50,-50.0,1,14,14,0,标准单窗口
2018-08-07,2018-07-24,14,8480,↑70,70.0,1,14,14,0,标准单窗口
2018-07-24,2018-07-10,14,8410,↓125,-125.0,1,14,14,0,标准单窗口
2018-07-10,2018-06-26,14,8535,↑270,270.0,1,14,14,0,标准单窗口
2018-06-26,2018-06-09,17,8265,↓55,-55.0,1,14,14,3,标准单窗口
2018-06-09,2018-05-26,14,8320,↓130,-130.0,1,14,14,0,标准单窗口
2018-05-26,2018-05-12,14,8450,↑260,260.0,1,14,14,0,标准单窗口
2018-05-12,2018-04-27,15,8190,↑100,100.0,1,14,14,1,标准单窗口
2018-04-27,2018-04-13,14,8090,↑255,255.0,1,14,14,0,标准单窗口
2018-04-13,2018-03-29,15,7835,↑55,55.0,1,14,14,1,标准单窗口
2018-03-29,2018-03-01,28,7780,↑170,170.0,2,14,28,0,疑似跨多窗口
2018-03-01,2018-02-10,19,7610,↓190,-190.0,1,14,14,5,单窗口但偏离较大
2018-02-10,2018-01-27,14,7800,↓170,-170.0,1,14,14,0,标准单窗口
2018-01-27,2018-01-13,14,7970,↑65,65.0,1,14,14,0,标准单窗口
2018-01-13,2017-12-29,15,7905,↑180,180.0,1,14,14,1,标准单窗口
2017-12-29,2017-11-17,42,7725,↑70,70.0,3,14,42,0,疑似跨多窗口
2017-11-17,2017-11-03,14,7655,↑265,265.0,1,14,14,0,标准单窗口
2017-11-03,2017-09-30,34,7390,↑150,150.0,2,14,28,6,多窗口但偏离较大
2017-09-30,2017-09-16,14,7240,↑210,210.0,1,14,14,0,标准单窗口
