日期,WTI,布伦特,迪拜,阿曼,塔皮斯,米纳斯,杜里,辛塔,大庆,胜利,欧佩克,ESPO
84.33,78.54,82.02,84.33,84.33,82.02,82.02,84.33,84.33,84.33,84.33,82.02,77.96
84.02,78.87,82.22,84.02,84.02,82.22,82.22,84.02,84.02,84.02,84.02,82.22,78.30
82.72,77.58,80.83,82.72,82.72,80.83,80.83,82.72,82.72,82.72,82.72,80.83,77.42
84.40,77.59,82.23,84.40,84.40,82.23,82.23,84.40,84.40,84.40,84.40,82.23,77.39
84.53,79.71,82.90,84.53,84.53,82.90,82.90,84.53,84.53,84.53,84.53,82.90,78.39
83.42,78.91,81.99,83.42,83.42,81.99,81.99,83.42,83.42,83.42,83.42,81.99,78.00
84.82,78.18,82.82,84.82,84.82,82.82,82.82,84.82,84.82,84.82,84.82,82.82,77.40
84.23,-,82.89,84.23,84.23,82.89,82.89,84.23,84.23,84.23,84.23,82.89,78.53
84.09,79.19,82.63,84.09,84.09,82.63,82.63,84.09,84.09,84.09,84.09,82.63,78.15
82.53,78.03,81.36,82.53,82.53,81.36,81.36,82.53,82.53,82.53,82.53,81.36,77.96
84.26,76.64,82.52,84.26,84.26,82.52,82.52,84.26,84.26,84.26,84.26,82.52,77.82
83.72,77.87,82.41,83.72,83.72,82.41,82.41,83.72,83.72,83.72,83.72,82.41,78.31
-,76.92,81.45,-,-,81.45,81.45,-,-,-,-,81.45,-
83.01,76.84,-,83.01,83.01,-,-,83.01,83.01,83.01,83.01,-,77.14
81.21,76.22,80.15,81.21,81.21,80.15,80.15,81.21,81.21,81.21,81.21,80.15,76.95
80.39,73.86,78.86,80.39,80.39,78.86,78.86,80.39,80.39,80.39,80.39,78.86,75.12
79.94,73.31,78.36,79.94,79.94,78.36,78.36,79.94,79.94,79.94,79.94,78.36,74.66
79.29,72.78,77.47,79.29,79.29,77.47,77.47,79.29,79.29,79.29,79.29,77.47,73.42
80.70,72.28,78.61,80.70,80.70,78.61,78.61,80.70,80.70,80.70,80.70,78.61,73.76
81.91,73.82,80.46,81.91,81.91,80.46,80.46,81.91,81.91,81.91,81.91,80.46,77.53
84.11,75.85,82.99,84.11,84.11,82.99,82.99,84.11,84.11,84.11,84.11,82.99,77.55
83.35,77.82,82.94,83.35,83.35,82.94,82.94,83.35,83.35,83.35,83.35,82.94,78.62
84.87,76.78,84.19,84.87,84.87,84.19,84.19,84.87,84.87,84.87,84.87,84.19,78.19
83.29,78.01,81.98,83.29,83.29,81.98,81.98,83.29,83.29,83.29,83.29,81.98,77.36
81.51,77.90,81.98,81.51,81.51,81.98,81.98,81.51,81.51,81.51,81.51,81.98,76.91
80.84,75.64,81.05,80.84,80.84,81.05,81.05,80.84,80.84,80.84,80.84,81.05,76.05
81.30,74.82,81.30,81.30,81.30,81.30,81.30,81.30,81.30,81.30,81.30,81.30,75.77
79.24,75.19,79.70,79.24,79.24,79.70,79.70,79.24,79.24,79.24,79.24,79.70,75.74
80.42,73.41,80.27,80.42,80.42,80.27,80.27,80.42,80.42,80.42,80.42,80.27,74.76
79.18,74.08,79.39,79.18,79.18,79.39,79.39,79.18,79.18,79.18,79.18,79.39,74.35
78.17,72.56,78.38,78.17,78.17,78.38,78.38,78.17,78.17,78.17,78.17,78.38,73.29
79.09,72.40,79.16,79.09,79.09,79.16,79.16,79.09,79.09,79.09,79.09,79.16,73.93
79.22,-,79.17,79.22,79.22,79.17,79.17,79.22,79.22,79.22,79.22,79.17,73.87
80.15,72.68,80.18,80.15,80.15,80.18,80.18,80.15,80.15,80.15,80.15,80.18,74.67
78.15,72.02,78.88,78.15,78.15,78.88,78.88,78.15,78.15,78.15,78.15,78.88,75.05
78.86,71.37,78.98,78.86,78.86,78.98,78.98,78.86,78.86,78.86,78.86,78.98,73.54
77.82,72.24,78.28,77.82,77.82,78.28,78.28,77.82,77.82,77.82,77.82,78.28,73.89
79.23,70.77,78.21,79.23,79.23,78.21,78.21,79.23,79.23,79.23,79.23,78.21,71.82
79.08,73.81,78.94,79.08,79.08,78.94,78.94,79.08,79.08,79.08,79.08,78.94,74.75
80.16,72.19,78.80,80.16,80.16,78.80,78.80,80.16,80.16,80.16,80.16,78.80,72.62
76.96,72.70,76.87,76.96,76.96,76.87,76.87,76.96,76.96,76.96,76.96,76.87,73.89
79.53,70.38,78.28,79.53,79.53,78.28,78.28,79.53,79.53,79.53,79.53,78.28,72.11
78.84,71.65,78.44,78.84,78.84,78.44,78.44,78.84,78.84,78.84,78.84,78.44,72.77
80.65,71.77,80.84,80.65,80.65,80.84,80.84,80.65,80.65,80.65,80.65,80.84,74.39
82.34,74.11,80.84,82.34,82.34,80.84,80.84,82.34,82.34,82.34,82.34,80.84,75.48
80.08,75.57,80.84,80.08,80.08,80.84,80.84,80.08,80.08,80.08,80.08,80.84,-
81.16,73.26,80.84,81.16,81.16,80.84,80.84,81.16,81.16,81.16,81.16,80.84,75.20
81.19,73.64,-,81.19,81.19,-,-,81.19,81.19,81.19,81.19,-,74.60
81.43,74.00,81.24,81.43,81.43,81.24,81.24,81.43,81.43,81.43,81.43,81.24,75.53
79.25,73.44,79.19,79.25,79.25,79.19,79.19,79.25,79.25,79.25,79.25,79.19,74.64
