调整日期,上次调整日期,周期天数,推断调价窗口数,标准窗口天数,推断类型,汽油,汽油涨跌,汽油价格_CNY_per_ton,国内调价幅度_CNY_per_ton,汇率日期,USD_CNY,汇率间隔天数,p_i_prime_国内汽油价格_USD_per_bbl,p_prev_prime_上一国内汽油价格_USD_per_bbl,delta_p_i_prime_国内调价幅度_USD_per_bbl,delta_p_i_prime_价格差_USD_per_bbl,布伦特均价_USD_per_bbl,布伦特样本天数,迪拜均价_USD_per_bbl,迪拜样本天数,米纳斯均价_USD_per_bbl,米纳斯样本天数,米纳斯来源集合,p_i_布伦特迪拜米纳斯433均价_USD_per_bbl,p_prev_上一窗口433均价_USD_per_bbl,delta_p_i_国际433价格变动_USD_per_bbl,433样本天数,线性拟合_delta_p_i_prime_USD_per_bbl,残差_epsilon_USD_per_bbl,残差绝对值_USD_per_bbl,残差平方
2021-01-30,2021-01-16,14.0,1,14,标准单窗口,6905,↑75,6905.0,75.0,2021-01-29,6.4277,1,146.55617088394342,143.7743486227354,1.5918483441413114,2.7818222612080206,55.20399999999999,10,54.84444444444444,9,54.233000000000004,10,商务部,54.87011111111111,53.930899999999994,0.9392111111111134,9,1.3827429016973536,0.2091054424439578,0.2091054424439578,0.043725086059683345
2021-01-16,2021-01-01,15.0,1,14,标准单窗口,6830,↑185,6830.0,185.0,2021-01-15,6.4809,1,143.7743486227354,138.89843735809026,3.894327158888148,4.87591126464514,54.343999999999994,10,54.073,10,53.238,10,商务部,53.930899999999994,50.070125000000004,3.8607749999999896,10,5.337554399139732,-1.4432272402515838,1.4432272402515838,2.0829048670042027
2021-01-01,2020-12-18,14.0,1,14,标准单窗口,6645,↑90,6645.0,90.0,2021-01-01,6.5267,0,138.89843735809026,136.78874859016813,1.8812429439018998,2.1096887679221368,50.712500000000006,8,49.7825,8,49.50125,8,商务部,50.070125000000004,49.4606,0.609525000000005,8,0.9364591740924255,0.9447837698094743,0.9447837698094743,0.8926163716954018
2020-12-18,2020-12-04,14.0,1,14,标准单窗口,6555,↑155,6555.0,155.0,2020-12-18,6.5376,0,136.78874859016813,133.67691642778183,3.2345165570520304,3.1118321623862926,50.186,10,49.309000000000005,10,48.645,10,商务部,49.4606,46.303666666666665,3.1569333333333347,10,4.384790324289761,-1.1502737672377306,1.1502737672377306,1.3231297395952808
2020-12-04,2020-11-20,14.0,1,14,标准单窗口,6400,↑250,6400.0,250.0,2020-12-04,6.5316,0,133.67691642778183,127.84058133997301,5.221754547960227,5.83633508780882,47.127,10,45.31666666666667,9,46.093,10,商务部,46.303666666666665,42.290800000000004,4.01286666666666,9,5.543435185894419,-0.32168063793419144,0.32168063793419144,0.10347843282174836
2020-10-23,2020-09-19,34.0,2,14,多窗口但偏离较大,6160,↑80,6160.0,80.0,2020-10-23,6.6868,0,125.67775196124622,122.53378340045718,1.6321785968993014,3.143968560789034,40.8524,25,41.2284,25,40.4004,25,商务部,40.829600000000006,41.96761111111111,-1.1380111111111049,25,-1.4291149386976958,3.061293535596997,3.061293535596997,9.371518111087962
2020-09-19,2020-08-22,28.0,2,14,疑似跨多窗口,6080,↓315,6080.0,-315.0,2020-09-18,6.7693,1,122.53378340045718,126.08454644115768,-6.348378580780265,-3.5507630407005024,42.08578947368421,19,42.451578947368425,19,41.429,20,商务部,41.96761111111111,43.42093333333334,-1.4533222222222264,18,-1.8559397677682146,-4.4924388130120505,4.4924388130120505,20.18200648865712
2020-08-22,2020-07-11,42.0,3,14,疑似跨多窗口,6395,↑85,6395.0,85.0,2020-08-21,6.9195,1,126.08454644115768,122.94636222367609,1.6758696555900554,3.1381842174815944,43.98033333333333,30,43.461333333333336,30,42.634666666666675,30,商务部,43.42093333333334,42.165875,1.2550583333333378,30,1.8102934442784204,-0.13442378868836502,0.13442378868836502,0.018069754965334212
2020-03-18,2020-02-19,28.0,2,14,疑似跨多窗口,6090,↓1015,6090.0,-1015.0,2020-03-18,7.0474,0,117.89201641072356,138.50566983340076,-19.64866940178726,-20.613653422677203,44.475,20,46.01200000000001,20,44.092999999999996,20,商务部,44.82150000000001,54.93355555555556,-10.11205555555555,20,-13.576942436985107,-6.071726964802153,6.071726964802153,36.86586833510556
2020-02-19,2020-02-05,14.0,1,14,标准单窗口,7105,↓415,7105.0,-415.0,2020-02-19,6.9983,0,138.50566983340076,147.1107392130757,-8.090056717925592,-8.605069379674944,56.125,10,54.513333333333335,9,54.177,10,商务部,54.93355555555556,62.651,-7.717444444444446,9,-10.335447157644436,2.245390439718845,2.245390439718845,5.041778226780788
